title,genre,popularity,vote_average,vote_count
Put Grandma in the Freezer,Comedy,9.368,6.2,625
The Hurricane Heist,"Action,Crime,Thriller",27.43,5.7,852
Dead in a Week (Or Your Money Back),"Comedy,Action,Drama",8.27,6.3,272
Kika,"Comedy,Drama",7.46,6.6,215
Maps to the Stars,Drama,8.144,6.2,919
Top Gun: Maverick,"Action,Drama",7567.017,8.4,1690
The Baader Meinhof Complex,"Action,Crime,Drama,History,Thriller",14.139,7.0,455
The Hunted,"Drama,Action,Thriller,Crime",13.176,6.1,592
Rumble Fish,"Action,Crime,Drama",9.798,7.1,504
Spy Kids: All the Time in the World,"Family,Comedy,Action",33.698,4.7,810
Christmas Inheritance,"Romance,Drama",15.331,6.3,740
Beauty and the Beast,"Family,Fantasy,Romance",86.159,7.0,14194
Ted 2,Comedy,131.67,6.3,6263
Delicacy,"Drama,Comedy,Romance",5.546,6.4,373
Cries and Whispers,Drama,10.151,8.0,538
Carrie,"Horror,Thriller",24.805,7.3,2987
A Gang Story,"Crime,Drama",7.571,6.8,273
The Most Beautiful Day,"Comedy,Drama",7.027,7.0,234
A Bay of Blood,"Horror,Thriller",9.955,6.7,286
A Fantastic Woman,Drama,9.618,7.1,573
Twin Murders: The Silence of the White City,"Drama,Thriller",8.768,5.6,257
Toni Erdmann,"Comedy,Drama",9.979,7.0,794
Scoob!,"Animation,Family,Comedy,Adventure",54.053,7.2,1374
My Best Enemy,Comedy,5.221,6.1,266
Bianca,"Drama,Comedy",5.283,7.6,307
The Hit List,"Action,Thriller",9.692,6.0,205
Manon of the Spring,Drama,6.766,7.6,382
Last Vegas,Comedy,17.63,6.4,1863
When Harry Met Sally...,"Comedy,Romance,Drama",12.132,7.4,3267
Truth,Drama,7.996,6.6,408
Pirates of the Caribbean: On Stranger Tides,"Adventure,Action,Fantasy",218.81,6.5,12138
Evil,Drama,12.184,7.3,256
The Town that Dreaded Sundown,"Thriller,Horror",13.889,5.9,357
The Servant,Drama,7.918,7.6,234
10 Cloverfield Lane,"Thriller,Science Fiction,Drama,Horror",25.169,7.0,6683
Racing Stripes,"Comedy,Family",17.917,5.8,490
X-Men: Days of Future Past,"Action,Adventure,Fantasy,Science Fiction",76.912,7.5,13528
Piranhas,"Drama,Crime",8.278,6.9,435
The Three Burials of Melquiades Estrada,"Adventure,Crime,Drama,Mystery,Western",8.939,7.1,478
Hellraiser,Horror,27.417,6.9,1871
Out of Sight,"Romance,Comedy,Crime",14.795,6.7,990
This Must Be the Place,Drama,6.79,7.0,1051
Now Where Did the Seventh Company Get to?,"Comedy,War",5.509,7.3,280
The Void,"Mystery,Horror,Science Fiction",23.617,5.9,960
The Raid 2,"Action,Crime,Thriller",34.95,7.6,1897
Palo Alto,Drama,12.83,6.2,749
The First Star,Comedy,3.946,5.8,224
Scooby-Doo on Zombie Island,"Animation,Comedy,Family,Mystery,Adventure,Horror",25.804,7.7,564
Save the Last Dance,"Drama,Family,Romance,Music",12.31,6.6,1095
U-571,"War,Drama,Action,Thriller",12.636,6.4,955
El Infierno,"Drama,Crime,Comedy",84.226,7.8,444
With Open Arms,Comedy,7.311,5.3,408
Tell No One,"Drama,Thriller,Crime,Mystery",8.378,7.3,1133
Brave,"Animation,Adventure,Comedy,Family,Action,Fantasy",102.575,7.0,11666
